LoanID,UserID,BusinessType,BusinessAge,AnnualTurnover,ProfitMargin,NumEmployees,LoanAmount,LoanPurpose,LoanTenure,InterestRate,MonthlyEMI,EMI_Defaulted,PreviousDefaults,CreditScore,CollateralValue,DSCR,CurrentRatio,RevenueGrowth,Location,IndustrySector,YearsWithBank,BankRelationshipScore,Risk_Prediction
LN00012,USR00012,Services,18,35.21,21.86,22,20.94,Debt Consolidation,5,15.93,0.4,3,1,835,13.16,1.56,2.79,3.03,Ahmedabad,FMCG,14,1.7,High Risk
LN00013,USR00013,Services,7,106.42,17.88,10,12.63,Inventory,4,16.79,0.31,3,0,718,7.29,2.48,1.82,4.44,Bangalore,Construction,13,3.5,Low Risk
LN00014,USR00014,Food,24,110.09,18.01,11,11.5,Working Capital,4,17.5,0.28,0,1,422,12.36,1.88,1.66,11.99,Kolkata,Pharma,7,1.7,High Risk
LN00015,USR00015,Trading,15,68.12,22.34,9,18.31,Inventory,5,14.98,0.35,1,0,593,7.41,1.4,2.39,5.61,Mumbai,Pharma,14,4.8,High Risk
LN00016,USR00016,Services,11,73.7,22.88,16,7.87,Working Capital,1,13.34,0.74,0,2,442,7.78,0.83,2.44,7.59,Bangalore,Agri,10,3.7,High Risk
LN00017,USR00017,Textiles,18,29.07,23.4,30,18.18,Debt Consolidation,6,12.17,0.28,2,0,810,6.79,1.62,2.58,2.03,Hyderabad,Agri,10,1.4,High Risk
LN00018,USR00018,Food,23,90.43,6.9,4,13.2,Inventory,5,13.42,0.25,1,0,356,14.0,1.15,2.68,11.43,Delhi,Construction,12,1.7,High Risk
LN00019,USR00019,Manufacturing,12,92.16,15.88,45,8.97,Inventory,1,10.71,0.83,3,0,341,14.82,1.9,1.61,2.72,Kolkata,Textiles,4,3.7,High Risk
LN00020,USR00020,Trading,6,73.13,19.81,10,10.05,Working Capital,3,12.14,0.31,1,1,420,7.81,1.79,2.41,11.66,Bangalore,Pharma,14,2.9,High Risk
LN00021,USR00021,Textiles,20,108.73,20.14,15,11.58,Working Capital,6,15.46,0.19,1,1,642,7.57,1.25,1.36,3.75,Bangalore,Textiles,12,3.9,High Risk
LN00022,USR00022,Textiles,23,64.98,17.13,23,12.78,Equipment,2,10.96,0.59,3,2,631,11.87,0.92,2.07,12.06,Ahmedabad,Textiles,6,2.1,High Risk
LN00023,USR00023,Manufacturing,13,91.94,8.34,49,9.01,Expansion,1,11.38,0.84,2,1,755,15.18,2.08,2.26,8.04,Kolkata,Construction,6,3.6,High Risk
LN00024,USR00024,Trading,20,44.41,20.95,30,16.47,Inventory,4,15.74,0.4,0,0,736,14.84,1.8,1.41,5.76,Hyderabad,Agri,5,1.7,High Risk
LN00025,USR00025,Food,16,74.29,19.4,37,8.88,Expansion,4,10.6,0.2,2,1,640,8.84,2.23,1.25,14.4,Bangalore,Textiles,10,3.2,High Risk
LN00026,USR00026,Retail,18,69.77,6.72,25,3.17,Expansion,6,11.21,0.05,2,1,640,9.45,1.24,1.47,7.72,Mumbai,Construction,9,4.8,High Risk
LN00027,USR00027,Trading,10,81.76,14.28,48,24.6,Inventory,2,9.16,1.12,2,0,715,6.31,1.91,1.9,6.55,Delhi,Agri,11,3.5,Low Risk
LN00028,USR00028,Manufacturing,23,63.91,8.48,17,15.99,Working Capital,1,15.48,1.54,1,2,481,8.81,1.0,2.79,11.64,Kolkata,Textiles,10,1.2,High Risk
LN00029,USR00029,Textiles,8,71.06,11.75,4,25.05,Equipment,2,14.56,1.2,2,1,563,10.29,1.3,2.11,2.08,Bangalore,Textiles,8,5.0,High Risk
LN00030,USR00030,Food,18,99.78,5.36,14,9.78,Debt Consolidation,3,15.25,0.31,1,2,509,5.95,1.92,2.52,-2.11,Ahmedabad,Agri,12,1.6,High Risk
LN00031,USR00031,Trading,21,61.9,13.01,38,17.4,Inventory,2,10.93,0.8,1,0,822,8.37,2.2,1.43,12.63,Ahmedabad,IT Services,6,3.9,Low Risk
LN00032,USR00032,Retail,1,26.8,16.0,5,19.47,Inventory,3,15.19,0.62,0,1,481,10.67,1.35,1.3,4.65,Delhi,Agri,4,3.1,High Risk
LN00033,USR00033,Retail,23,127.49,17.39,7,14.05,Debt Consolidation,4,14.37,0.33,0,2,743,5.44,2.16,1.56,11.46,Kolkata,FMCG,13,2.2,High Risk
LN00034,USR00034,Services,8,116.44,18.27,5,7.78,Expansion,3,12.3,0.24,2,2,550,11.41,1.95,1.7,8.18,Kolkata,FMCG,4,1.7,High Risk
LN00035,USR00035,Services,6,36.23,21.73,49,13.68,Equipment,1,12.94,1.29,1,0,437,13.06,1.39,2.14,3.34,Kolkata,Construction,13,1.7,High Risk
LN00036,USR00036,Tech,5,95.69,9.31,21,18.13,Expansion,6,14.11,0.29,3,1,517,11.71,2.29,2.77,10.43,Hyderabad,Construction,9,4.4,High Risk
LN00037,USR00037,Manufacturing,15,59.91,7.41,4,17.94,Debt Consolidation,6,13.44,0.28,1,2,753,8.51,1.67,1.91,6.36,Mumbai,Pharma,14,4.5,High Risk
LN00038,USR00038,Trading,22,82.9,22.03,46,14.99,Debt Consolidation,1,14.78,1.43,0,2,386,13.52,1.9,2.09,3.69,Ahmedabad,FMCG,12,2.9,High Risk
LN00039,USR00039,Trading,15,83.83,8.13,39,19.49,Equipment,1,10.63,1.8,3,2,592,14.16,1.64,1.11,3.79,Kolkata,Agri,13,1.4,High Risk
LN00040,USR00040,Tech,2,67.97,24.5,19,19.25,Debt Consolidation,1,13.87,1.83,1,2,391,10.95,1.57,1.16,1.07,Hyderabad,FMCG,4,4.5,High Risk
LN00041,USR00041,Textiles,1,51.49,21.85,16,12.38,Debt Consolidation,5,13.05,0.23,2,2,507,10.45,2.24,1.26,9.61,Kolkata,IT Services,13,2.9,High Risk
LN00042,USR00042,Textiles,23,54.28,15.02,30,7.4,Equipment,3,13.15,0.23,1,2,503,8.14,1.3,2.43,4.26,Kolkata,Construction,7,2.8,High Risk
LN00043,USR00043,Tech,23,47.51,24.63,29,15.95,Inventory,1,13.22,1.5,3,2,485,8.78,0.86,2.02,7.86,Hyderabad,IT Services,14,2.6,High Risk
LN00044,USR00044,Textiles,11,50.05,6.95,12,11.27,Expansion,6,16.93,0.18,2,2,384,13.22,2.3,1.47,7.27,Mumbai,Construction,6,2.5,High Risk
LN00045,USR00045,Services,10,72.98,11.06,5,15.72,Inventory,2,16.37,0.76,3,2,455,15.55,2.2,2.23,4.23,Delhi,IT Services,2,3.1,High Risk
LN00046,USR00046,Trading,18,53.53,17.76,38,21.73,Inventory,2,14.67,1.04,0,2,592,8.76,1.42,2.13,1.91,Ahmedabad,Construction,5,3.4,High Risk
LN00047,USR00047,Tech,18,95.46,12.0,40,17.19,Expansion,5,15.45,0.33,0,1,832,9.49,1.12,1.27,18.13,Bangalore,Agri,3,2.9,High Risk
LN00048,USR00048,Trading,17,119.62,23.57,27,21.48,Inventory,3,9.39,0.65,1,0,460,8.06,1.95,2.32,7.81,Kolkata,IT Services,9,4.6,High Risk
LN00049,USR00049,Retail,8,57.6,6.31,24,9.94,Equipment,3,15.7,0.32,1,0,685,8.71,0.93,2.56,15.29,Mumbai,Textiles,10,2.3,High Risk
LN00050,USR00050,Services,15,82.18,15.99,41,20.44,Expansion,3,13.38,0.64,0,0,784,6.23,1.52,1.64,12.66,Ahmedabad,Construction,1,3.3,Low Risk
LN00051,USR00051,Food,8,89.99,16.82,49,23.38,Working Capital,6,11.86,0.36,3,2,802,11.29,0.95,2.41,6.72,Bangalore,FMCG,10,2.2,High Risk
LN00052,USR00052,Services,17,89.16,18.05,32,15.32,Inventory,6,10.26,0.23,3,0,455,6.2,1.82,1.48,8.72,Kolkata,Textiles,4,4.0,High Risk
LN00053,USR00053,Tech,12,77.28,10.11,23,26.61,Debt Consolidation,5,9.68,0.49,2,2,442,8.36,0.85,2.54,8.61,Bangalore,FMCG,13,1.4,High Risk
LN00054,USR00054,Food,8,97.28,12.29,32,10.71,Expansion,3,9.4,0.33,2,1,583,9.82,1.87,2.83,15.38,Hyderabad,Construction,4,1.8,High Risk
LN00055,USR00055,Retail,14,89.47,21.87,30,11.81,Working Capital,3,10.46,0.36,2,0,334,6.06,1.94,1.94,11.32,Ahmedabad,Agri,9,4.2,High Risk
LN00056,USR00056,Tech,4,37.87,8.9,33,18.25,Debt Consolidation,1,9.27,1.66,0,1,523,7.68,1.63,1.56,4.77,Mumbai,Textiles,14,1.7,High Risk
LN00057,USR00057,Manufacturing,1,101.07,21.54,28,15.27,Working Capital,3,15.59,0.49,0,1,692,6.62,1.1,1.86,9.41,Mumbai,Textiles,1,3.5,High Risk
LN00058,USR00058,Trading,1,101.62,16.25,45,11.29,Inventory,6,11.24,0.17,0,2,707,13.3,0.97,1.58,11.22,Ahmedabad,Construction,2,4.9,High Risk
LN00059,USR00059,Retail,19,52.1,20.24,24,18.1,Debt Consolidation,1,12.32,1.69,1,0,687,14.27,1.33,1.1,3.3,Delhi,IT Services,1,3.1,Low Risk
LN00060,USR00060,Trading,16,76.14,19.27,23,16.78,Inventory,1,16.4,1.63,3,1,596,7.63,1.59,2.34,9.98,Delhi,Construction,13,1.7,High Risk
LN00061,USR00061,Textiles,14,95.5,9.15,3,12.07,Debt Consolidation,3,10.03,0.37,0,0,622,18.29,1.89,1.18,13.38,Bangalore,Construction,1,2.3,High Risk
LN00062,USR00062,Manufacturing,21,68.72,16.38,39,15.95,Expansion,2,16.52,0.77,2,1,787,7.2,0.8,1.5,4.57,Hyderabad,Pharma,12,4.3,High Risk
LN00063,USR00063,Manufacturing,16,107.19,22.35,15,18.8,Equipment,4,14.76,0.45,2,1,338,8.73,2.01,2.47,5.12,Bangalore,Agri,14,2.4,High Risk
LN00064,USR00064,Retail,5,145.92,13.64,23,11.96,Equipment,6,12.08,0.19,0,2,804,11.48,2.01,2.36,12.64,Kolkata,IT Services,13,3.9,High Risk
LN00065,USR00065,Manufacturing,9,51.42,24.33,48,17.58,Working Capital,2,10.06,0.81,0,0,802,11.76,1.56,1.24,6.58,Mumbai,Agri,1,4.1,Low Risk
LN00066,USR00066,Food,2,33.57,14.04,11,10.66,Debt Consolidation,3,9.82,0.33,3,2,836,9.04,1.38,2.35,4.07,Bangalore,Construction,3,3.0,High Risk
LN00067,USR00067,Manufacturing,18,84.11,7.86,19,11.63,Inventory,3,12.02,0.36,2,2,615,13.28,2.23,2.87,11.53,Bangalore,Pharma,11,4.1,High Risk
LN00068,USR00068,Trading,6,96.65,12.79,49,20.56,Expansion,2,10.26,0.94,3,2,795,13.6,2.13,1.24,10.31,Ahmedabad,Construction,14,2.3,High Risk
LN00069,USR00069,Trading,9,68.07,24.03,23,18.07,Expansion,3,11.41,0.56,0,2,416,9.98,2.47,1.89,8.38,Mumbai,Construction,4,3.1,High Risk
LN00070,USR00070,Tech,1,118.6,11.39,33,5.57,Expansion,6,9.48,0.08,3,2,641,9.55,1.43,2.49,12.5,Mumbai,Agri,10,3.7,High Risk
LN00071,USR00071,Trading,9,34.84,22.36,41,13.13,Equipment,1,14.36,1.25,1,1,539,8.17,2.34,2.37,12.78,Delhi,Pharma,2,1.7,High Risk
LN00072,USR00072,Tech,16,95.79,22.63,24,17.45,Inventory,5,10.31,0.32,0,0,744,6.88,0.95,1.53,7.67,Delhi,Agri,14,2.1,High Risk
LN00073,USR00073,Trading,13,56.82,12.0,14,15.69,Expansion,3,15.81,0.5,2,0,786,7.6,1.5,1.41,15.9,Mumbai,Construction,1,3.6,Low Risk
LN00074,USR00074,Food,9,126.58,6.67,8,18.09,Expansion,3,10.96,0.56,2,2,710,11.63,1.59,2.59,14.33,Bangalore,FMCG,5,3.6,High Risk
LN00075,USR00075,Tech,21,134.78,19.49,18,15.58,Working Capital,2,16.18,0.75,3,0,597,10.0,1.55,2.92,0.06,Kolkata,Textiles,6,3.0,High Risk
LN00076,USR00076,Services,13,52.0,11.23,28,14.34,Debt Consolidation,1,10.71,1.32,0,1,351,9.27,1.86,2.56,3.88,Bangalore,IT Services,2,4.2,High Risk
LN00077,USR00077,Textiles,9,58.51,20.66,7,14.18,Debt Consolidation,2,15.49,0.68,2,2,603,8.29,1.09,2.93,-1.02,Kolkata,Construction,3,2.9,High Risk
LN00078,USR00078,Retail,11,100.79,13.85,11,20.46,Debt Consolidation,6,12.0,0.32,3,1,587,8.35,2.27,2.25,6.7,Mumbai,IT Services,10,4.5,High Risk
LN00079,USR00079,Trading,4,63.39,14.71,48,18.47,Working Capital,2,14.25,0.88,3,1,417,9.86,1.74,2.87,3.16,Ahmedabad,Pharma,3,3.9,High Risk
LN00080,USR00080,Manufacturing,2,73.64,20.56,42,17.02,Equipment,3,9.35,0.52,0,2,723,9.63,2.34,2.41,4.74,Kolkata,FMCG,2,2.3,High Risk
LN00081,USR00081,Trading,6,75.76,12.65,16,15.44,Working Capital,1,13.46,1.46,2,1,508,10.0,0.8,2.83,12.36,Delhi,IT Services,4,2.6,High Risk
LN00082,USR00082,Manufacturing,14,17.41,13.86,46,12.26,Expansion,6,10.34,0.19,2,2,426,8.67,1.87,1.41,0.98,Ahmedabad,IT Services,14,3.7,High Risk
LN00083,USR00083,Textiles,4,74.58,12.52,44,13.47,Inventory,3,13.38,0.42,2,1,592,7.99,1.5,2.65,8.52,Mumbai,Pharma,5,4.6,High Risk
LN00084,USR00084,Textiles,6,54.31,12.35,32,20.32,Expansion,6,10.27,0.31,0,0,818,10.03,1.66,1.47,8.49,Hyderabad,Construction,8,1.7,High Risk
LN00085,USR00085,Textiles,19,60.21,15.52,28,19.85,Expansion,3,12.93,0.62,0,0,521,11.95,2.06,1.15,7.67,Kolkata,Construction,6,3.1,High Risk
LN00086,USR00086,Manufacturing,6,118.31,21.18,47,11.76,Inventory,3,10.0,0.36,0,0,376,8.47,1.19,2.08,8.52,Kolkata,Textiles,9,1.5,High Risk
LN00087,USR00087,Trading,2,37.3,12.24,31,15.5,Debt Consolidation,3,10.98,0.48,1,2,637,2.84,1.15,1.7,-0.93,Ahmedabad,Pharma,3,2.1,High Risk
LN00088,USR00088,Textiles,18,99.4,15.49,21,17.49,Working Capital,5,14.36,0.33,3,1,574,5.9,2.0,1.18,4.76,Hyderabad,FMCG,10,3.7,High Risk
LN00089,USR00089,Food,13,66.63,18.41,49,17.17,Equipment,4,17.79,0.42,1,1,416,13.22,1.69,2.96,14.17,Hyderabad,Textiles,9,1.3,High Risk
LN00090,USR00090,Tech,9,66.61,10.39,10,17.13,Expansion,1,13.04,1.61,1,0,591,12.98,1.2,2.37,3.21,Mumbai,Pharma,11,3.6,High Risk
LN00091,USR00091,Manufacturing,23,98.71,10.55,25,9.44,Expansion,5,15.18,0.18,2,0,570,11.94,1.62,2.81,14.67,Ahmedabad,Construction,14,4.6,High Risk
LN00092,USR00092,Manufacturing,19,85.2,23.67,44,9.14,Equipment,4,13.85,0.22,2,2,746,11.54,1.58,3.0,2.37,Bangalore,Textiles,11,4.9,High Risk
LN00093,USR00093,Trading,13,92.12,19.47,37,20.85,Working Capital,6,13.49,0.33,3,2,456,13.05,1.98,1.84,1.89,Hyderabad,Construction,4,1.9,High Risk
LN00094,USR00094,Manufacturing,11,104.05,16.54,33,22.55,Expansion,4,9.58,0.51,3,1,483,8.97,0.8,1.58,4.19,Kolkata,Agri,8,4.0,High Risk
LN00095,USR00095,Manufacturing,1,65.06,17.95,37,7.59,Equipment,4,10.3,0.17,0,2,723,10.42,1.8,1.45,12.52,Hyderabad,Agri,10,4.7,High Risk
LN00096,USR00096,Textiles,24,56.63,5.59,34,14.86,Expansion,5,16.95,0.29,2,2,315,7.68,1.83,2.08,5.82,Mumbai,Textiles,7,1.4,High Risk
LN00097,USR00097,Trading,22,42.45,17.36,7,19.07,Debt Consolidation,1,12.69,1.79,1,2,397,9.47,2.07,2.25,9.38,Mumbai,Textiles,14,2.7,High Risk
LN00098,USR00098,Textiles,7,50.24,15.19,18,3.98,Debt Consolidation,2,14.53,0.19,3,0,599,15.69,2.31,2.0,8.29,Kolkata,Pharma,7,4.7,High Risk
LN00099,USR00099,Tech,21,163.47,15.91,19,9.63,Expansion,4,13.75,0.23,3,0,721,7.52,1.55,1.84,7.78,Kolkata,FMCG,9,1.8,High Risk
LN00100,USR00100,Tech,15,112.34,12.19,34,14.54,Expansion,2,12.41,0.68,1,1,606,6.5,1.38,1.42,13.1,Kolkata,FMCG,10,4.7,High Risk
LN00101,USR00101,Textiles,1,34.47,6.63,40,12.01,Debt Consolidation,2,12.49,0.56,0,2,573,9.42,0.97,1.94,11.09,Bangalore,Agri,14,3.1,High Risk
LN00102,USR00102,Tech,12,35.33,8.87,34,16.05,Expansion,3,14.0,0.51,2,0,560,8.8,1.37,1.26,3.43,Kolkata,Agri,2,1.4,High Risk
LN00103,USR00103,Trading,7,89.46,24.01,22,22.35,Working Capital,2,10.27,1.03,2,2,538,10.8,0.92,2.74,6.9,Ahmedabad,Agri,5,2.8,High Risk
LN00104,USR00104,Retail,15,91.42,13.17,4,10.74,Working Capital,6,12.49,0.17,1,1,631,12.38,2.16,1.19,14.97,Mumbai,Construction,3,2.3,High Risk
LN00105,USR00105,Textiles,21,91.47,14.33,22,15.25,Inventory,6,13.02,0.24,0,2,414,8.88,2.17,1.82,9.28,Mumbai,FMCG,7,2.1,High Risk
LN00106,USR00106,Food,19,67.35,6.05,49,13.28,Working Capital,3,17.87,0.43,1,1,567,16.32,1.51,1.29,1.97,Hyderabad,Textiles,3,3.2,High Risk
LN00107,USR00107,Food,1,71.24,5.75,20,15.68,Expansion,1,12.16,1.47,2,1,311,13.69,1.24,2.57,2.25,Kolkata,Agri,5,2.9,High Risk
LN00108,USR00108,Manufacturing,17,84.84,19.34,3,15.03,Expansion,1,14.8,1.44,1,0,372,7.71,1.0,1.69,11.56,Bangalore,IT Services,5,2.9,High Risk
LN00109,USR00109,Tech,17,77.58,15.76,31,28.19,Equipment,6,10.24,0.43,1,2,705,9.76,2.25,1.31,10.81,Ahmedabad,Pharma,2,1.4,High Risk
LN00110,USR00110,Food,3,8.42,15.17,31,22.45,Working Capital,3,9.59,0.68,2,0,477,11.59,2.29,2.11,4.31,Delhi,Textiles,11,4.2,High Risk
LN00111,USR00111,Manufacturing,12,68.11,9.86,21,7.1,Debt Consolidation,1,16.84,0.69,2,2,558,7.51,1.25,2.84,10.99,Hyderabad,Textiles,1,2.9,High Risk
LN00112,USR00112,Retail,6,49.46,19.9,46,10.5,Debt Consolidation,4,15.58,0.25,2,2,699,3.81,1.86,2.83,14.4,Ahmedabad,Textiles,12,4.3,High Risk
LN00113,USR00113,Trading,11,80.26,8.36,42,11.11,Inventory,1,11.86,1.04,1,1,569,15.79,1.24,1.57,13.83,Bangalore,FMCG,6,4.3,High Risk
LN00114,USR00114,Trading,3,164.56,8.8,8,8.83,Equipment,3,13.54,0.28,1,1,785,6.68,1.18,2.47,14.42,Kolkata,Agri,13,2.3,High Risk
LN00115,USR00115,Trading,8,86.02,14.21,46,8.16,Debt Consolidation,6,10.22,0.12,1,2,358,12.56,0.84,1.16,10.22,Bangalore,Pharma,1,1.0,High Risk
LN00116,USR00116,Food,14,65.59,10.73,41,14.11,Inventory,4,15.36,0.34,0,0,565,12.1,1.78,1.35,7.29,Delhi,Construction,9,4.6,High Risk
LN00117,USR00117,Retail,14,102.65,9.95,48,11.3,Working Capital,2,9.63,0.52,3,1,374,7.55,1.05,2.05,6.39,Ahmedabad,Pharma,10,4.0,High Risk
LN00118,USR00118,Food,10,89.48,17.9,10,10.55,Equipment,2,15.81,0.51,0,1,389,15.88,0.82,1.53,7.93,Bangalore,Pharma,5,1.4,High Risk
LN00119,USR00119,Tech,2,87.6,18.02,26,25.1,Equipment,2,13.92,1.19,3,2,804,10.19,0.98,2.62,4.5,Delhi,IT Services,1,3.8,High Risk
LN00120,USR00120,Food,14,93.21,21.49,22,11.65,Expansion,6,11.51,0.18,2,2,656,10.41,1.33,2.87,6.56,Delhi,Pharma,12,1.1,High Risk
LN00121,USR00121,Retail,9,136.7,13.35,16,12.78,Working Capital,3,16.76,0.41,3,1,453,5.39,1.94,1.11,13.1,Ahmedabad,Construction,8,1.1,High Risk
LN00122,USR00122,Retail,3,41.07,6.46,7,18.71,Equipment,2,17.87,0.92,0,0,517,3.66,1.14,1.54,1.56,Delhi,Pharma,1,3.1,High Risk
LN00123,USR00123,Tech,21,89.21,10.47,43,12.77,Inventory,1,11.29,1.18,2,1,785,9.27,2.31,1.94,1.84,Ahmedabad,IT Services,4,1.4,High Risk
LN00124,USR00124,Retail,8,47.21,24.6,42,9.17,Debt Consolidation,2,16.26,0.44,3,2,839,13.89,1.29,2.17,11.32,Bangalore,Pharma,7,4.9,High Risk
LN00125,USR00125,Retail,16,91.67,16.93,36,13.71,Working Capital,5,15.75,0.26,3,1,429,4.41,1.36,2.84,6.6,Kolkata,Agri,4,4.6,High Risk
LN00126,USR00126,Trading,2,47.44,19.19,18,25.04,Working Capital,6,15.72,0.4,3,2,365,10.44,1.17,2.79,0.3,Mumbai,IT Services,12,3.6,High Risk
LN00127,USR00127,Tech,6,62.48,5.15,47,12.59,Equipment,5,17.62,0.25,1,1,443,10.24,1.23,2.31,7.75,Mumbai,Agri,5,1.3,High Risk
LN00128,USR00128,Services,21,66.15,15.36,9,10.44,Equipment,2,13.38,0.49,2,2,679,13.72,0.93,1.59,7.18,Bangalore,Agri,7,2.3,High Risk
LN00129,USR00129,Services,12,104.27,5.75,18,17.1,Equipment,2,15.07,0.82,1,2,612,13.05,1.3,2.59,6.28,Kolkata,Textiles,4,2.5,High Risk
LN00130,USR00130,Retail,5,102.55,16.38,9,13.47,Inventory,5,16.41,0.26,2,0,706,10.42,2.26,1.49,10.74,Mumbai,IT Services,5,2.9,Low Risk
LN00131,USR00131,Services,2,37.63,23.42,29,28.69,Expansion,6,13.32,0.45,3,2,706,9.72,1.97,2.93,2.67,Delhi,Pharma,7,1.7,High Risk
LN00132,USR00132,Services,16,76.65,24.37,16,11.07,Equipment,6,13.33,0.17,3,1,576,7.84,2.29,1.11,8.05,Bangalore,FMCG,1,3.3,High Risk
LN00133,USR00133,Retail,5,53.71,15.81,16,23.67,Expansion,2,11.87,1.1,0,2,708,6.56,0.98,2.18,7.16,Bangalore,FMCG,12,2.7,High Risk
LN00134,USR00134,Services,15,37.24,14.16,46,20.82,Expansion,6,16.03,0.34,3,1,613,8.12,1.57,1.27,8.15,Hyderabad,FMCG,3,4.8,High Risk
LN00135,USR00135,Food,12,68.49,23.9,35,13.09,Working Capital,4,15.18,0.31,1,0,848,6.68,1.19,1.87,1.07,Hyderabad,Construction,1,4.7,High Risk
LN00136,USR00136,Manufacturing,4,65.75,18.47,35,14.98,Debt Consolidation,6,13.06,0.24,1,1,548,9.68,2.03,2.31,5.91,Hyderabad,Agri,14,3.3,High Risk
LN00137,USR00137,Tech,15,147.8,6.3,46,9.85,Debt Consolidation,5,12.77,0.19,3,0,760,9.9,2.45,2.41,8.08,Ahmedabad,Agri,3,3.6,High Risk
LN00138,USR00138,Manufacturing,11,87.99,14.31,22,12.31,Inventory,3,9.65,0.37,1,0,698,9.18,2.19,2.59,10.16,Kolkata,Agri,11,1.6,High Risk
LN00139,USR00139,Retail,16,33.67,9.8,49,13.06,Inventory,5,9.06,0.24,3,2,750,10.33,0.86,2.23,15.39,Bangalore,IT Services,2,1.9,High Risk
LN00140,USR00140,Trading,23,58.06,14.4,38,15.79,Debt Consolidation,1,13.76,1.5,0,0,770,8.62,1.34,1.58,11.22,Hyderabad,Construction,5,4.6,Low Risk
LN00141,USR00141,Tech,6,105.64,14.11,9,7.94,Debt Consolidation,4,12.76,0.19,0,1,733,12.52,0.85,2.79,9.84,Bangalore,Pharma,10,3.8,High Risk
LN00142,USR00142,Retail,14,137.65,16.64,34,16.56,Working Capital,3,16.16,0.53,3,0,745,10.69,0.87,2.64,13.09,Delhi,Textiles,5,1.8,High Risk
LN00143,USR00143,Trading,18,27.42,12.14,5,14.27,Working Capital,2,13.88,0.68,0,0,402,8.55,0.94,1.4,6.78,Hyderabad,IT Services,10,3.3,High Risk
LN00144,USR00144,Manufacturing,12,18.6,8.29,41,16.99,Debt Consolidation,1,17.43,1.66,3,2,627,6.5,1.27,2.67,14.22,Bangalore,Agri,9,4.7,High Risk
LN00145,USR00145,Retail,11,131.13,15.07,31,17.74,Equipment,1,10.77,1.64,1,1,545,9.76,1.32,2.95,12.48,Kolkata,Pharma,8,2.4,High Risk
LN00146,USR00146,Tech,13,86.69,21.6,26,13.87,Equipment,4,17.91,0.34,3,0,357,13.42,1.48,2.31,6.22,Ahmedabad,FMCG,3,1.7,High Risk
LN00147,USR00147,Tech,21,48.95,18.28,24,17.44,Working Capital,3,11.68,0.54,2,2,404,11.77,1.49,1.64,15.7,Kolkata,Textiles,1,4.8,High Risk
LN00148,USR00148,Textiles,23,91.04,11.77,8,14.56,Expansion,1,14.78,1.39,2,2,368,12.27,2.11,2.25,9.79,Kolkata,FMCG,5,2.8,High Risk
LN00149,USR00149,Food,11,-4.07,23.71,26,18.72,Debt Consolidation,3,13.52,0.59,3,1,601,12.17,1.04,1.75,16.77,Hyderabad,Pharma,11,2.7,High Risk
LN00150,USR00150,Services,23,75.1,23.24,42,16.58,Inventory,3,12.24,0.52,3,2,452,13.65,1.07,2.38,9.21,Kolkata,Pharma,3,2.1,High Risk
LN00151,USR00151,Trading,16,84.83,9.19,25,15.91,Equipment,6,10.25,0.24,3,0,836,12.59,1.87,2.14,5.75,Ahmedabad,FMCG,5,4.6,High Risk
